USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
037120,99999,TIVINGTON,UK,,,+51.200,-003.533,+0083.0,19890101,20051001
037150,99999,CARDIFF,UK,,EGFF,+51.397,-003.343,+0067.1,19730101,20150513
037155,99999,ST ATHAN,UK,,,+51.400,-003.433,+0051.0,19940818,20050427
037160,99999,ST ATHAN,UK,,EGDX,+51.405,-003.436,+0049.7,20010706,20150513
037170,99999,CARDIFF WEATHER CENTRE,UK,,,+51.483,-003.183,+0052.0,19840614,20060616
037241,99999,BRISTOL/LULSGATE,UK,,,+51.383,-002.717,+0189.0,19730101,19880105
037243,99999,BRISTOL,UK,,EGGD,+51.383,-002.719,+0189.6,19880105,20150513
037260,99999,BRISTOL WEA CENTER,UK,,,+51.467,-002.600,+0011.0,19810801,20040819
037400,99999,LYNEHAM,UK,,EGDL,+51.505,-001.993,+0156.4,19730101,20150513
037430,99999,LARKHILL,UK,,,+51.200,-001.800,+0133.0,19890601,20150513
037435,99999,GREENHAM COMMON RAF,UK,,EGVI,+51.383,-001.283,+0122.0,19760428,19920417
037440,99999,UPAVON,UK,,EGDJ,+51.300,-001.767,+0175.0,19730101,20040827
037450,99999,NETHERAVON(RA),UK,,,+51.250,-001.767,+0139.0,19730101,20020315
037460,99999,BOSCOMBE DOWN,UK,,EGDM,+51.152,-001.747,+0124.1,19310101,20150513
037480,99999,WINCHESTER,UK,,,+51.067,-001.317,+0083.0,19291001,19330831
037490,99999,MIDDLE WALLOP,UK,,EGVP,+51.150,-001.567,+0091.0,19730809,20150513
037590,99999,TEST SAMOS 03761,UK,,,+51.250,-000.950,+0123.0,19930407,20000728
037610,99999,ODIHAM,UK,,EGVO,+51.234,-000.943,+0123.4,19730101,20150513
037630,99999,BRACKNELL/BEAUFORT,UK,,EGRR,+51.383,-000.783,+0074.0,19730101,20030924
037640,99999,BRACKNELL (AUT),UK,,,+51.383,-000.800,+0075.0,19871202,20040206
037660,99999,FARNBOROUGH (MIL),UK,,EGUF,+51.283,-000.767,+0072.0,19291001,20051011
037661,99999,BIGGIN HILL,UK,,,+51.283,+000.033,+0000.0,19840519,19880105
037663,99999,BIGGIN HILL,UK,,EGKB,+51.331,+000.033,+0182.3,19880105,20150512
037670,99999,LIPHOOK,UK,,,+51.083,-000.817,+0098.0,19730101,19880706
037680,99999,FARNBOROUGH,UK,,EGLF,+51.276,-000.776,+0072.5,19880501,20150513
037683,99999,CITY,UK,,EGLC,+51.505,+000.055,+0005.8,19880129,20150513
037690,99999,CHARLWOOD,UK,,,+51.233,-000.383,+0068.0,19920301,20150513
037700,99999,ST JAMES PARK,UK,,,+51.500,-000.117,+0005.0,20091218,20150513
037720,99999,HEATHROW,UK,,EGLL,+51.478,-000.461,+0025.3,19481201,20150513
037740,99999,CRAWLEY,UK,,,+51.083,-000.217,+0144.0,20011105,20070307
037750,99999,KEW-IN-LONDON,UK,,,+51.467,-000.317,+0005.0,19291001,19820510
037760,99999,GATWICK,UK,,EGKK,+51.148,-000.190,+0061.6,19730101,20150513
037770,99999,PURLEY OAKS,UK,,,+51.350,-000.117,+0066.0,19290801,19390930
037780,99999,LONDON WEA CENTER,UK,,,+51.517,-000.117,+0023.0,19730101,20030514
037790,99999,LONDON WEA CENTER,UK,,EGRB,+51.500,-000.117,+0039.0,19920401,20100201
037800,99999,REDHILL,UK,,,+51.217,-000.133,+0063.0,20010702,20060228
037810,99999,KENLEY AIRFIELD,UK,,,+51.300,-000.083,+0170.0,19880201,20150513
037815,99999,LEAVESDEN,UK,,EGTI,+51.683,-000.417,+0102.0,19730101,19950409
037820,99999,BLACKWALL,UK,,,+51.517,+000.017,+0005.0,19741127,19881104
037830,99999,GALLIONS REACH,UK,,,+51.500,-000.067,+0012.0,19730101,19791011
037840,99999,GRAVESEND-BROADNESS,UK,,,+51.467,+000.300,+0003.0,19960201,20150513
037850,99999,CHARING,UK,,,+51.200,+000.783,+0091.0,19800910,20011231
037860,99999,GRAVESEND,UK,,,+51.433,+000.383,+0005.0,19730101,20041016
037871,99999,WEST MALLING,UK,,,+51.283,+000.417,+0104.0,19601201,19640630
037890,99999,JUBILEE CORNER,UK,,,+51.183,+000.633,+0047.0,19730105,19961002
037900,99999,EAST MALLING (AUT),UK,,,+51.283,+000.450,+0032.0,19851201,20011118
037910,99999,SHEERNESS,UK,,,+51.450,+000.750,+0025.0,19730101,20080731
037920,99999,DODDINGTON,UK,,,+51.283,+000.783,+0091.0,19730101,19800913
037930,99999,ANVIL GREEN,UK,,,+51.200,+001.017,+0139.0,19730101,20050218
037940,99999,BECAME STN 037941,UK,,,+51.150,+001.383,+0091.0,19730308,19791003
037950,99999,LYMPNE,UK,,,+51.083,+001.017,+0104.0,19290801,19390930
037951,99999,ASHFORD,UK,,EGMK,+51.150,+000.883,+0107.0,19730101,19741221
037960,99999,LANGDON BAY,UK,,,+51.133,+001.350,+0117.0,19730308,20150504
037970,35047,MANSTON,UK,,EGMH,+51.350,+001.333,+0050.0,19300228,20150513
037970,99999,MANSTON,UK,,EGMH,+51.342,+001.346,+0054.3,20000101,20041231
037980,99999,FALLS (LGT-VSL),UK,,,+51.300,+001.817,+0005.0,19730101,19820913
037990,99999,EAST GOODWIN L.V.,UK,,,+51.217,+001.600,+0005.0,19730101,19820623
038000,99999,SCILLY/ST. MARY'S,UK,,,+49.917,-006.283,+0045.0,19890124,20031002
038020,99999,SCILLY/ROUND ISLAND,UK,,,+49.983,-006.317,+0038.0,19820304,20050829
038030,99999,SCILLY/SAINT MARY'S,UK,,EGHE,+49.917,-006.300,+0031.0,19860101,20150513
038040,99999,SCILLY/ST.MARYS,UK,,EGHE,+49.933,-006.300,+0051.0,19260101,20021106
038050,99999,SEVEN STONES L.V.,UK,,,+50.050,-006.067,+0005.0,19730227,19820801
038060,99999,GWENNAP HEAD,UK,,,+50.033,-005.667,+0066.0,19730308,20020501
038080,99999,CAMBORNE,UK,,,+50.217,-005.317,+0088.0,19730101,20150513
038090,99999,CULDROSE,UK,,EGDR,+50.086,-005.256,+0081.4,19730101,20150513
038100,99999,PENDENNIS POINT,UK,,,+50.150,-005.067,+0042.0,19840614,20070621
038110,99999,PORT PENDENNIS,UK,,,+50.133,-005.033,+0061.0,19291001,19340404
038140,99999,LIZARD,UK,,,+49.950,-005.183,+0057.0,19320510,20020831
038150,99999,LIZARD LIGHTHOUSE,UK,,,+49.967,-005.200,+0060.0,19880719,20030529
038170,99999,ST MAWGAN,UK,,EGDG,+50.433,-005.000,+0118.9,19730101,20081201
038200,99999,DAVIDSTOW MOOR,UK,,,+50.633,-004.600,+0291.0,19920501,20040331
038230,99999,CARDINHAM  BODMIN,UK,,,+50.500,-004.667,+0199.0,19870708,20150513
038240,99999,BASTREET,UK,,,+50.567,-004.483,+0238.0,19750122,20040919
038270,99999,PLYMOUTH/MOUNTBATTE,UK,,EGDB,+50.350,-004.117,+0027.0,19730101,20150513
038273,99999,PLYMOUTH,UK,,EGHD,+50.423,-004.106,+0145.1,19880318,20111223
038280,99999,SOUTHWEST YELVERTON,UK,,,+50.483,-004.100,+0198.0,19291001,19390930
038300,99999,BURRINGTON,UK,,,+50.933,-003.983,+0199.0,19750521,20011001
038310,99999,NORTH HESSARY TOR,UK,,,+50.550,-004.000,+0510.0,19730101,20050323
038320,99999,OKEHAMPTON,UK,,,+50.717,-004.000,+0372.0,19760601,19891001
038330,99999,CHAWLEIGH,UK,,,+50.900,-003.800,+0160.0,19730101,19830116
038340,99999,PRAWLE POINT,UK,,,+50.200,-003.717,+0059.0,19730308,19830802
038341,99999,PRAWLE POINT,UK,,,+50.200,-003.717,+0059.0,20070307,20070307
038370,99999,BRIXHAM,UK,,,+50.400,-003.483,+0008.0,19730308,20070705
038390,99999,EXETER,UK,,EGTE,+50.734,-003.414,+0031.1,19730101,20150513
038400,99999,DUNKESWELL AERODROME,UK,,,+50.867,-003.233,+0253.0,19910531,20150513
038410,99999,TEMP FOR 038400,UK,,,+50.867,-003.250,+0255.0,19830825,20021227
038450,99999,BEER-IN-DEVON,UK,,,+50.700,-003.100,+0052.0,19730308,19840607
038530,99999,YEOVILTON,UK,,EGDY,+51.009,-002.639,+0022.9,19730101,20150513
038550,99999,PORTLAND BILL C.G.,UK,,,+50.517,-002.433,+0053.0,19730112,20021101
038560,99999,PORTLAND BILL (LH),UK,,,+50.517,-002.450,+0011.0,19291001,20041129
038570,99999,ISLE OF PORTLAND,UK,,,+50.517,-002.450,+0052.0,19730809,20150513
038580,99999,PORTLAND HELIPORT,UK,,EGDP,+50.567,-002.450,+0003.0,19730108,20021220
038590,99999,POOLE HARBOR,UK,,,+50.700,-001.983,+0005.0,20040909,20040910
038600,99999,ANVIL POINT,UK,,,+50.583,-001.967,+0034.0,19780111,19810925
038610,99999,CHRISTCHURCH BAY,UK,,,+50.700,-001.667,+0007.0,19811107,20020708
038620,99999,BOURNEMOUTH,UK,,EGHH,+50.780,-001.843,+0011.6,19730101,20150513
038630,99999,THE NEEDLES (CAPE),UK,,,+50.667,-001.583,+0086.0,19730308,19860530
038650,99999,SOUTHAMPTON,UK,,EGHI,+50.950,-001.357,+0013.4,19730101,20150512
038660,99999,WIGHT: ST. CATHERINES POINT,UK,,,+50.583,-001.300,+0024.0,19730101,20150513
038670,99999,LEE-ON-SOLENT,UK,,,+50.817,-001.217,+0010.0,19730105,20050811
038690,99999,CALSHOT-IN-HANTS,UK,,,+50.817,-001.300,+0003.0,19730308,19830704
038700,99999,NAB TOWER LH (DEAD),UK,,,+50.667,-000.950,+0024.0,19810121,19830713
038720,99999,THORNEY ISLAND,UK,,,+50.817,-000.917,+0003.0,19840703,20150513
038730,99999,TOTLAND,UK,,,+50.683,-001.533,+0020.0,19890112,19960331
038740,99999,SOLENT,UK,,,+50.800,-001.217,+0013.0,19860602,20150227
038750,99999,WELLOW,UK,,,+50.683,-001.450,+0025.0,19890501,20070307
038760,99999,SHOREHAM,UK,,EGKA,+50.836,-000.297,+0002.1,19861201,20150513
038770,99999,EAST HOATHLY,UK,,,+50.917,+000.150,+0038.0,19730101,20050817
038790,99999,SHOREHAM-BY-SEA,UK,,,+50.817,-000.250,+0005.0,19730209,19880105
038793,99999,SHOREHAM-BY-SEA,UK,,,+50.817,-000.267,+0018.0,19880105,19901016
038800,99999,NEWHAVEN (LGT-H),UK,,,+50.783,+000.050,+0005.0,19730101,20020929
038810,99999,BREDE,UK,,,+50.933,+000.600,+0082.0,19880808,20050405
038820,99999,HERSTMONCEUX  WEST END,UK,,,+50.900,+000.317,+0052.0,19921201,20150513
038830,99999,EASTBOURNE,UK,,,+50.783,+000.300,+0003.0,19730308,20050907
038840,99999,HERSTMONCEUX,UK,,,+50.867,+000.333,+0017.0,19761101,20030125
038850,99999,ROYAL SOVEREIGN(LH),UK,,,+50.717,+000.450,+0023.0,19730101,19821213
038860,99999,FAIRLIGHT,UK,,,+50.867,+000.633,+0143.0,19730308,19910107
038871,99999,LYDD AIRPORT,UK,,,+50.950,+000.933,+0003.0,19750109,19880105
038873,99999,LYDD,UK,,EGMD,+50.956,+000.939,+0004.0,19880105,20150512
038880,99999,DUNGENESS,UK,,,+50.917,+000.967,+0003.0,19291001,19800314
038900,99999,CHANNEL (LGT-VSL),UK,,,+49.900,-002.917,+0089.0,19790201,19820916
038915,99999,ALDERNEY,GK,,EGJA,+49.706,-002.215,+0088.4,19870629,20150512
038940,99999,GUERNSEY,GK,,EGJB,+49.435,-002.602,+0102.4,19291001,20150513
038950,99999,JERSEY,JE,,EGJJ,+49.208,-002.196,+0084.4,19730101,20150513
038960,99999,ST. HELIER,UK,,,+49.200,-002.100,+0054.0,19840801,20150512
038980,99999,VARNE (LGT-VSL),UK,,,+51.017,+001.400,+0005.0,19730101,19821107
039000,99999,KNOCKAREVAN,UK,,,+54.417,-008.083,+0050.0,19730101,20050831
039010,99999,THOMASTOWN,UK,,,+54.333,-007.600,+0072.0,20120720,20150513
039020,99999,CORGARY,UK,,,+54.433,-008.050,+0145.0,19730809,20060207
039030,99999,ST ANGELO,UK,,,+54.400,-007.650,+0047.0,19850301,20130716
039040,99999,CASTLEDERG,UK,,,+54.700,-007.583,+0050.0,19971201,20150513
039050,99999,CARRIGANS,UK,,,+54.667,-007.317,+0113.0,19730101,20011116
039060,99999,CARMONEY,UK,,,+55.017,-007.233,+0073.0,19770803,20041231
039070,99999,MAGILLIGAN NO 2,UK,,,+55.150,-006.933,+0006.0,20110901,20150513
039080,99999,BALLYKELLY,UK,,,+55.067,-007.017,+0005.0,19971201,20111103
039084,99999,LONDONDERRY EGLINTON,UK,,EGAE,+55.043,-007.161,+0006.7,19900424,20150512
039090,99999,MONEYDIG,UK,,,+54.983,-006.600,+0034.0,19730101,19800724
039100,99999,MAGHERA,UK,,,+54.850,-006.700,+0141.0,19800912,19900124
039110,99999,LOUGH FEA,UK,,,+54.717,-006.817,+0227.0,19941003,20150512
039120,99999,MOYOLA,UK,,,+54.717,-006.517,+0017.0,19921201,20050815
039130,99999,ANNAGHMORE,UK,,,+54.450,-006.567,+0027.0,19810506,19851217
039140,99999,PORTRUSH,UK,,,+55.200,-006.667,+0008.0,19730309,20040926
039150,99999,PORTGLENONE,UK,,,+54.867,-006.450,+0065.0,19730308,20150513
039155,99999,COWDEN,UK,,EGXF,+53.850,-006.100,+0015.0,19950210,19980331
039160,99999,BALLYPATRICK FOREST,UK,,,+55.183,-006.167,+0156.0,19870301,20150513
039170,99999,ALDERGROVE,UK,,EGAA,+54.658,-006.216,+0081.7,19300228,20150513
039180,99999,CASTOR BAY,UK,,,+54.500,-006.333,+0018.0,19431004,20050822
039200,99999,HILLSBOROUGH,UK,,,+54.483,-006.100,+0038.0,19790208,20050912
039220,99999,KILKEEL,UK,,,+54.050,-006.000,+0018.0,19730323,19870130
039230,99999,GLENANNE NO2,UK,,,+54.233,-006.500,+0160.0,19850207,20150513
039240,99999,CITY,UK,,EGAC,+54.618,-005.873,+0004.6,19730101,20150512
039250,99999,ORLOCK HEAD,UK,,,+54.667,-005.583,+0034.0,19730313,20020101
039260,99999,KILLOUGH,UK,,,+54.233,-005.617,+0018.0,19730107,20050814
039270,99999,BANGOR HARBOUR,UK,,,+54.667,-005.667,+0011.0,19920301,20071130
039280,99999,LARNE,UK,,,+54.850,-005.800,+0003.0,19291001,20040316
039290,99999,PORTMUCK,UK,,,+54.850,-005.733,+0043.0,19730323,19790529
039510,99999,SHERKIN ISLAND,EI,,,+51.467,-009.417,+0021.0,20091020,20150513
039520,99999,ROCHES POINT,EI,,,+51.800,-008.250,+0041.0,19291001,20150513
039530,99999,VALENTIA OBSERVATORY,EI,,,+51.933,-010.250,+0030.0,19260102,20150513
039550,99999,CORK,EI,,EICK,+51.841,-008.491,+0153.0,19730101,20150513
039560,99999,JOHNSTOWN CASTLE,EI,,,+52.283,-006.483,+0053.0,20070806,20150513
039570,99999,ROSSLARE,EI,,,+52.250,-006.333,+0025.0,19730101,20080407
039600,99999,KILKENNY,EI,,,+52.667,-007.267,+0064.0,19730101,20080407
039610,99999,OAK PARK - CARLOW,EI,,,+52.850,-006.900,+0063.0,20080721,20150513
039620,99999,SHANNON,EI,,EINN,+52.702,-008.925,+0014.0,19730101,20150513
039630,99999,MACE HEAD,EI,,,+53.317,-009.900,+0023.0,20091020,20150513
039640,99999,GALWAY,EI,,,+53.283,-009.017,+0021.0,19780616,20040928
039650,99999,BIRR,EI,,,+53.083,-007.883,+0072.0,19730101,20091001
039660,99999,GURTEEN,EI,,,+53.017,-008.000,+0076.0,19291001,20150513
039670,99999,CASEMENT,EI,,EIME,+53.302,-006.451,+0097.2,19870201,20150513
039690,99999,DUBLIN,EI,,EIDW,+53.421,-006.270,+0073.8,19730101,20150513
039700,99999,CLAREMORRIS,EI,,,+53.717,-008.983,+0069.0,19730101,20150513
039710,99999,MULLINGAR,EI,,,+53.533,-007.367,+0100.0,19730101,20150513
039730,99999,CONNAUGHT,EI,,EIKN,+53.910,-008.818,+0202.7,19291001,20150513
039740,99999,CLONES,EI,,,+54.183,-007.233,+0089.0,19730101,20080407
039760,99999,BELMULLET,EI,,,+54.233,-010.000,+0009.7,19730101,20150513
039780,99999,FINNER,EI,,,+54.483,-008.233,+0034.7,20010601,20150513
039790,99999,BALLYHAISE,EI,,,+54.050,-007.300,+0079.0,20080721,20150513
039800,99999,MALIN HEAD,EI,,,+55.367,-007.333,+0025.0,19260701,20150513
040010,99999,BREIDAVIK,IC,,,+65.533,-024.350,+0020.0,20011004,20041218
040011,99999,HVALLATUR,IC,,,+65.533,-024.467,+0008.0,20040720,20041123
040030,99999,KVIGINDISDALUR,IC,,,+65.550,-024.017,+0049.0,19310101,20070307
040040,99999,GUFUSKALAR,IC,,,+64.900,-023.933,+0007.0,19490101,20020405
040050,99999,BOLUNGAVIK,IC,,,+66.150,-023.250,+0024.0,19520201,20150513
040060,99999,BOGUS ICELAND,IC,,,+00.000,+000.000,-0999.0,19310105,20040211
040070,99999,HOLAR I DYRAFIRDI,IC,,,+65.867,-023.600,+0030.0,20051230,20100225
040100,99999,NEDRI-HOLL,IC,,,+64.800,-023.033,+0008.0,20050904,20070307
040130,99999,STYKKISHOLMUR,IC,,BIST,+65.083,-022.733,+0008.0,19730101,20150513
040131,99999,ISAFJORDUR,IC,,BIIS,+66.058,-023.135,+0002.4,20090403,20150512
040140,99999,REYKJANESVITI,IC,,,+63.817,-022.717,+0026.0,19740802,20060220
040170,99999,AEDEY,IC,,,+66.100,-022.667,+0005.0,20010923,20150512
040180,16201,KEFLAVIK NAVAL AIR STATION,IC,,BIKF,+63.967,-022.600,+0052.1,19421001,20150513
040230,99999,HORNBJARGSVITI (LH),IC,,,+66.417,-022.383,+0027.0,19490102,20050622
040250,99999,REYKHOLAR,IC,,,+65.450,-022.200,+0011.0,20070226,20070307
040260,99999,HAUKATUNGA,IC,,,+64.817,-022.267,+0050.0,20070307,20070307
040270,99999,ASGARDUR,IC,,,+65.233,-021.750,+0010.0,19750930,20070307
040300,99999,REYKJAVIK,IC,,BIRK,+64.130,-021.941,+0014.6,19310101,20150513
040310,99999,GJOGUR,IC,,,+65.983,-021.350,+0005.0,19490101,20040323
040340,99999,STAFHOLTSEY,IC,,,+64.617,-021.600,+0014.0,19490101,20131204
040380,99999,EYRARBAKKI,IC,,,+63.867,-021.150,+0005.0,19740601,20150513
040400,99999,HEIDARBAER,IC,,,+64.200,-021.233,+0125.0,19740803,20070307
040410,99999,TANNSTADABAKKI,IC,,,+65.283,-021.100,+0008.0,20020910,20050822
040420,99999,HJARDARLAND,IC,,,+64.250,-020.417,+0101.0,20050114,20070307
040440,99999,HELLA,IC,,,+63.833,-020.400,+0020.0,20020316,20030812
040450,99999,BLONDUOS,IC,,,+65.667,-020.300,+0022.0,19490101,20031101
040480,99999,VESTMANNAEYJAR,IC,,BIVM,+63.424,-020.279,+0099.4,19310103,20150512
040500,99999,HAELL,IC,,,+64.067,-020.250,+0121.0,19510101,20050610
040530,99999,BERGSTADIR,IC,,,+65.700,-019.617,+0043.0,19540911,20150513
040550,99999,NAUTABU,IC,,,+65.450,-019.367,+0115.0,19490101,20070307
040560,99999,HVERAVELLIR,IC,,,+64.867,-019.567,+0642.0,19740731,20040610
040580,99999,VATNSSKARDSHOLAR,IC,,,+63.417,-019.183,+0020.0,19490101,20070307
040590,99999,SAUDANESVITI,IC,,,+66.183,-018.967,+0030.0,19490101,20070227
040620,99999,NORDURHJALEIGA,IC,,,+63.500,-018.383,+0018.0,20040902,20060111
040630,99999,AKUREYRI,IC,,BIAR,+65.660,-018.073,+0001.8,19310103,20150513
040640,99999,KIRKJUBAEJARKLAUSTUR,IC,,,+63.783,-018.067,+0038.0,19490101,20130501
040650,99999,GRIMSEY ISLAND,IC,,BIGR,+66.533,-018.017,+0016.0,19130101,20030404
040655,99999,BILDUDALUR,IC,,BIBD,+65.641,-023.546,+0005.5,20130220,20150512
040680,99999,SANDBUDIR,IC,,,+64.933,-017.983,+0821.0,19780131,19800726
040710,99999,MANARBAKKI,IC,,,+66.200,-017.100,+0017.0,19800502,20070307
040720,99999,FAGURHOLSMYRI,IC,,,+63.883,-016.650,+0046.0,19490101,20051218
040730,99999,GRIMSSTADIR,IC,,,+65.633,-016.117,+0386.0,19490101,20150512
040750,99999,MOURUDALUR,IC,,,+65.367,-015.883,+0450.0,19490101,19561231
040770,99999,RAUFARHOFN,IC,,BIRG,+66.450,-015.950,+0010.0,19490101,20090217
040800,99999,SNAEFELLSSKALI,IC,,,+64.800,-015.633,+0810.0,20040304,20070307
040810,99999,SAUDANES,IC,,,+66.250,-015.267,+0017.0,20010716,20060124
040820,99999,HORNAFJORDUR,IC,,BIHN,+64.296,-015.227,+0007.3,19730101,20150513
040831,99999,SKORUVIK,IC,,,+66.350,-014.767,+0013.0,20070307,20070307
040850,99999,SKJALDTHINGSSTADIR,IC,,BIVO,+65.750,-014.833,+0048.0,19750311,20150512
040860,99999,HORN I HORNAFIRDI,IC,,,+64.267,-014.983,+0005.0,19490101,19560831
040870,99999,STRANDHOFN,IC,,,+65.900,-014.650,+0019.0,19490101,20050908
040890,99999,EGILSSTADIR,IC,,BIEG,+65.283,-014.401,+0023.2,19490101,20150513
040910,99999,REYDARFJORDUR,IC,,,+65.033,-014.233,+0025.0,19860515,20070106
040920,99999,DJUPIVOGUR,IC,,,+64.650,-014.283,+0025.0,19490101,19561231
040970,99999,DALATANGI,IC,,,+65.267,-013.583,+0011.0,19310103,20150512
041010,99999,BJARGTANGAR,IC,,,+65.500,-024.517,+0036.0,20040925,20150512
041030,99999,PATREKSFJORDUR,IC,,,+65.600,-024.000,+0004.0,20040909,20070307
041040,99999,GUFUSKALAR,IC,,,+64.900,-023.933,+0007.0,20060912,20150513
041090,99999,THVERFJALL,IC,,,+66.050,-023.317,+0753.0,20141113,20150512
041150,99999,DYNJANDIHEIDI,IC,,,+65.700,-023.083,+0621.0,19900501,20150513
041200,99999,GRINDAVIK,IC,,,+63.850,-022.417,+0004.0,20050222,20051201
041230,99999,HORNBJARGSVITI,IC,,,+66.417,-022.383,+0022.0,20090501,20150513
041240,99999,STRAUMSVIK,IC,,,+64.050,-022.333,+0005.0,20121204,20150512
041260,99999,GRUNDARTANGI,IC,,,+64.350,-021.783,+0005.0,20141113,20150512
041270,99999,BOLUNGARVIK,IC,,,+66.167,-023.250,+0027.0,20080115,20150513
041300,99999,REYKJAVIK,IC,,,+64.133,-021.900,+0053.0,20031104,20150513
041310,99999,GJOGUR,IC,,,+65.983,-021.350,+0032.0,20040612,20150512
041370,99999,AKUREYRI A,IC,,,+65.683,-018.117,+0031.0,20080429,20150513
041400,99999,THORLAKSHOFN,IC,,,+63.850,-021.383,+0005.0,20040704,20050104
041450,99999,BLONDUOS,IC,,,+65.667,-020.300,+0022.0,20080115,20150513
041460,99999,VESTMANNAEYJABAER,IC,,,+63.433,-020.283,+0040.0,20071016,20150513
041490,99999,KOLKA,IC,,,+65.400,-019.717,+0505.0,20141113,20150430
041540,99999,BURFELL,IC,,,+64.083,-019.733,+0249.0,20040116,20150512
041560,99999,HVERAVELLIR,IC,,,+64.867,-019.567,+0641.0,20080115,20150513
041600,99999,THUFUVER,IC,,,+64.583,-018.600,+0614.0,20031104,20150512
041620,99999,VEIDIVATNAHRAUN,IC,,,+64.400,-018.500,+0648.0,20070226,20150512
041650,99999,GRIMSEY,IC,,,+66.533,-018.017,+0017.0,19630101,20150513
041660,99999,JOKULHEIMAR,IC,,,+64.317,-018.217,+0727.0,20040809,20150512
041680,99999,SANDBUDIR,IC,,,+64.933,-017.983,+0821.0,20001204,20150512
041700,99999,SKARDSFJORUVITI,IC,,,+63.517,-017.983,+0009.0,20040504,20150512
041750,99999,ICELAND SITE,IC,,,+66.510,-016.540,+0059.3,19630101,20150512
041760,99999,KARAHNJUKAR,IC,,,+64.933,-015.783,+0639.0,20071016,20150513
041800,99999,HVANNEY,IC,,,+64.233,-015.200,+0005.0,20031104,20150512
041830,99999,FONTUR,IC,,,+66.383,-014.533,+0044.0,20041028,20150512
041930,99999,GAGNHEIDI,IC,,,+65.217,-014.267,+0949.0,20050923,20150512
041950,99999,ICELAND SITE,IC,,,+65.280,-014.000,+0092.4,19801201,20150512
041960,99999,KAMBANES,IC,,,+64.800,-013.850,+0034.0,20141113,20150512
041970,99999,DALATANGI,IC,,,+65.267,-013.583,+0011.0,20031009,20150513
060050,99999,MYKINES,DA,,,+62.100,-007.683,+0100.0,20010601,20150302
060090,99999,AKRABERG,DA,,,+61.400,-006.667,+0102.0,19730101,20150512
060100,99999,VAGAR,FO,,EKVG,+62.064,-007.277,+0085.3,19740805,20150513
060110,99999,TORSHAVN,DA,,,+62.017,-006.767,+0061.0,19310103,20150513
060120,99999,KIRKJA,DA,,,+62.317,-006.317,+0056.0,20010716,20150513
060160,99999,HORNS REV A,FO,,EKHR,+55.500,+007.867,+0021.0,20101213,20150513
060170,99999,HORNS REV B HELIDECK,DA,,EKHN,+55.600,+007.624,+0010.0,20101213,20150513
060190,99999,SILSTRUP,DA,,,+56.933,+008.633,+0041.0,20050405,20150513
060210,99999,HANSTHOLM,DA,,,+57.117,+008.600,+0003.0,19310101,20150513
060220,99999,TYRA OST,DA,,EKGF,+55.720,+004.800,+0043.0,20050309,20150512
060221,99999,GORM C  OIL PLATFORM HELIPAD,DA,,EKGC,+55.580,+004.759,+0096.0,20120822,20150513
060222,99999,HALFDAN A  OIL PLATFORM HELIP,DA,,EKHA,+55.531,+005.004,+0094.5,20120821,20150513
060223,99999,TYRA E OIL PLATFORM HELIPAD,DA,,EKTE,+55.722,+004.802,+0095.1,20120821,20150513
060224,99999,HARALD HELIDECK OIL RIG,DA,,EKHD,+56.344,+004.272,+0095.0,20120904,20150513
060230,99999,GORM (AUT/MAN),DA,,,+55.583,+004.767,+0010.0,19821001,19860907
060240,99999,THISTED,DA,,EKTS,+57.069,+008.705,+0007.0,19730621,20070201
060300,99999,FLYVESTATION AALBORG,DA,,EKYT,+57.093,+009.849,+0003.0,19400401,20150513
060310,99999,TYLSTRUP,DA,,,+57.183,+009.950,+0013.0,20050405,20150513
060320,99999,STENHOJ,DA,,,+57.383,+010.333,+0055.0,20050405,20150513
060330,99999,HIRTSHALS,DA,,,+57.600,+009.967,+0003.0,19770110,20150511
060335,99999,SINDAL,DA,,,+57.467,+010.217,+0028.0,19770322,19770513
060340,99999,SINDAL,DA,,EKSN,+57.504,+010.229,+0028.0,19820501,20150512
060370,99999,SKAGEN,DA,,,+57.783,+010.733,+0001.0,19730921,19791125
060410,99999,SKAGEN,DA,,,+57.733,+010.633,+0005.0,19280101,20150513
060430,99999,FREDERIKSHAVN,DA,,,+57.400,+010.517,+0080.0,19890216,20070307
060440,99999,HALS,DA,,,+56.983,+010.317,+0016.0,19860614,20150416
060450,99999,DYBVAD,DA,,,+57.267,+010.317,+0016.0,19780403,19900317
060470,99999,LAESO TRINDEL,DA,,,+57.467,+011.417,+0001.0,19730103,20050722
060480,99999,HADSUND,DA,,EKHS,+56.717,+010.117,+0002.0,19830203,20020403
060490,99999,HALD V,DA,,,+56.567,+010.100,+0089.0,20010918,20150513
060520,99999,THYBOROEN,DA,,,+56.700,+008.217,+0004.0,19730101,20150513
060530,99999,AGGERSUND,DA,,,+57.000,+009.300,+0006.0,19760311,20040717
060540,99999,LINDTORP,DA,,EK20,+56.397,+008.442,+0014.9,19770508,20070307
060546,99999,HORNS REV A HELIDECK,DA,,,+55.509,+007.875,+0010.0,20091110,20101214
060550,99999,TORSMINDE,DA,,,+56.367,+008.117,+0005.0,20020722,20150511
060560,99999,MEJRUP,DA,,,+56.383,+008.667,+0053.0,20120411,20150513
